category_id,points,display_name,game,category,subcategory
yd48w56ejdrp8mg2jq6y4zn1,  100,  Duck Life 1 - No Major Glitches (Any%),                                         Duck Life 1,No Major Glitches,Any%
yd48w56ejdrp8mg25lm8xgyq,  77,   Duck Life 1 - No Major Glitches (100%),                                         Duck Life 1,No Major Glitches,100%
yd48w56ejdrp8mg281wem591,  66,   Duck Life 1 - No Major Glitches (No Skill Seed),                                Duck Life 1,No Major Glitches,No Skill Seed
yd48w56ejdrp8mg25le3kg6q,  60,   Duck Life 1 - No Major Glitches (Single Activity),                              Duck Life 1,No Major Glitches,Single Activity
yd48w56ewdmq83e29qjwzx01,  59,   Duck Life 1 - Glitched (Any%),                                                  Duck Life 1,Glitched,Any%
yd48w56ewdmq83e281005wj1,  56,   Duck Life 1 - Glitched (No RcB),                                                Duck Life 1,Glitched,No RcB
yd48w56ewdmq83e24qy5xj31,  65,   Duck Life 1 - Glitched (King of Ducks),                                         Duck Life 1,Glitched,King of Ducks
yd48w56ewdmq83e2mlndyz61,  57,   Duck Life 1 - Glitched (100%),                                                  Duck Life 1,Glitched,100%
yd48w56ewk6e8oq221g8gnxl,  92,   Duck Life 1 - In Browser (Any%),                                                Duck Life 1,In Browser,Any%
yd48w56ewk6e8oq2xqkj8z4l,  71,   Duck Life 1 - In Browser (100%),                                                Duck Life 1,In Browser,100%
369530dlwdm4jzodxqk9rm91,  77,   Duck Life 2 - No Major Glitches (Any%),                                         Duck Life 2,No Major Glitches,Any%
369530dlwdm4jzodgq79nrnl,  61,   Duck Life 2 - No Major Glitches (All Level Upgrades),                           Duck Life 2,No Major Glitches,All Level Upgrades
369530dlvdoq70vk21gej2xl,  62,   Duck Life 2 - Glitched (Any%),                                                  Duck Life 2,Glitched,Any%
369530dlvdoq70vkklrjzy0q,  50,   Duck Life 2 - Glitched (No Tab),                                                Duck Life 2,Glitched,No Tab
369530dlvdoq70vkjqzv6x4l,  51,   Duck Life 2 - Glitched (All Level Upgrades),                                    Duck Life 2,Glitched,All Level Upgrades
369530dl7dg0697kxqkj8e9l,  64,   Duck Life 2 - In Browser (Any%),                                                Duck Life 2,In Browser,Any%
pdvrmo1wxd1m7grd0139d0d1,  61,   Duck Life 3: Evolution - No Major Glitches (Swimming),                          Duck Life 3: Evolution,No Major Glitches,Swimming
pdvrmo1wxd1m7grdrqvvg77q,  77,   Duck Life 3: Evolution - No Major Glitches (Athletic),                          Duck Life 3: Evolution,No Major Glitches,Athletic
pdvrmo1wxd1m7grd5le29o5l,  65,   Duck Life 3: Evolution - No Major Glitches (Strength),                          Duck Life 3: Evolution,No Major Glitches,Strength
pdvrmo1wxd1m7grd5le2ng6l,  58,   Duck Life 3: Evolution - No Major Glitches (Flying),                            Duck Life 3: Evolution,No Major Glitches,Flying
pdvrmo1wxd1m7grdz19396k1,  57,   Duck Life 3: Evolution - No Major Glitches (All Duck Types),                    Duck Life 3: Evolution,No Major Glitches,All Duck Types
pdvrmo1wz27mr5o2p12nwrk1,  47,   Duck Life 3: Evolution - Glitched (Any%),                                       Duck Life 3: Evolution,Glitched,Any%
pdvrmo1wz27mr5o2xqkd42yl,  29,   Duck Life 3: Evolution - Glitched (All Races),                                  Duck Life 3: Evolution,Glitched,All Races
pdvrmo1wz27mr5o281pj0vk1,  34,   Duck Life 3: Evolution - Glitched (All Duck Types),                             Duck Life 3: Evolution,Glitched,All Duck Types
pdvrmo1wz2741o02gq7jg5rq,  65,   Duck Life 3: Evolution - In Browser (Any%),                                     Duck Life 3: Evolution,In Browser,Any%
4d7ek3677kjo3lz25leo49zq,  64,   Duck Life 4 - No Major Glitches (Any%),                                         Duck Life 4,No Major Glitches,Any%
4d7ek367xk9pr5gdzqo03k2q,  57,   Duck Life 4 - Glitched (Any%),                                                  Duck Life 4,Glitched,Any%
4d7ek367xk9pr5gd4lxz8rr1,  48,   Duck Life 4 - Glitched (All Races),                                             Duck Life 4,Glitched,All Races
4d7ek367xk9pr5gd0130md31,  38,   Duck Life 4 - Glitched (All Worlds),                                            Duck Life 4,Glitched,All Worlds
4d7ek367xk9pr5gdrqv7rgwq,  20,   Duck Life 4 - Glitched (Max%),                                                  Duck Life 4,Glitched,Max%
4d7ek367xd14v3rdzqo9x55q,  69,   Duck Life 4 - In Browser (Any%),                                                Duck Life 4,In Browser,Any%
lde3v4j6wkp0qwv2,          52,   Duck Life 2013 - Any%,                                                          Duck Life 2013,Any%,
