game,category,subcategory,category_id,player_id,time,date,platform,run_id
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Caarda,726,2026-07-08,Flash,ylw467rz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Creepiumgamer,735,2024-03-12,Flash,yldk24km
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Sabi2798,736,2022-03-28,Flash,ywjld73z
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,pianodude1011,743,2021-04-27,Flash,z5rjrl5y
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,rothegreat,743,2023-07-19,Flash,y4o659dz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Cheggjon,744,2018-10-11,Flash,y6pnvj0m
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Fqceless,754,2020-11-30,Flash,me6071qz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,ennopponetwelve,756,2020-06-19,Flash,yjl8l6oz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,chalk_,757,2025-04-19,Flash,zper15ry
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Raffii,758,2018-09-25,Flash,y6p9okjm
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,cheavus,758,2021-01-28,Flash,znok6ovy
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Pale_Manny,758,2026-07-17,Flash,z145517z
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Lodren,758,2026-07-19,Flash,m74gx39m
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,LogicDefender,762,2021-04-08,Flash,me9r5gqz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Arbusion,767,2022-06-14,Flash,mr7l19dz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Kyrette,772,2018-08-06,Flash,z11oj4gz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Dragox3,772,2024-04-03,Flash,yo06l5dy
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Lachurs,774,2021-01-19,Flash,zqg6oq9m
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Psylaris,779,2021-08-21,Flash,y931wrky
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,ankka,783,2021-01-03,Flash,y4e4ke3m
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,MambaDooEezy,783,2021-04-23,Flash,m3r17wdm
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Reality1337,784,2021-02-20,Flash,mr4rkkgz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,pr1sm,785,2020-12-28,Flash,m3g894gz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Axther,787,2020-12-29,Flash,zplvlogm
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,UnrealArchon,788,2021-01-04,Flash,yj6vv5gz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,snivy,789,2021-03-06,Flash,y66q1vpy
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,FlipK1cky,790,2020-12-13,Flash,y4elkk2m
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,JonnyXX9,790,2020-12-28,Flash,mr9wq2dm
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,piplup17,793,2024-04-08,Flash,ydndq3wm
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,TheGlitched64,796,2021-01-05,Flash,y6r15d1y
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,LDJ1337,796,2021-01-05,Flash,y4ed852m
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Regia,798,2024-04-07,Flash,zp6244rm
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,bananaman1302,801,2022-03-05,Flash,yjx74xnz
Duck Life 1,No Major Glitches,100%,yd48w56ejdrp8mg25lm8xgyq,Caarda,801,2026-07-08,Flash,ydx320wz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,FlawlessDiamond,802,2021-01-07,Flash,y6r114qy
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,ThePenelopySisters,803,2024-11-10,Flash,z0q4jw8m
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,life8853,804,2021-01-04,Flash,z094vdoz
Duck Life 1,No Major Glitches,Any%,yd48w56ejdrp8mg2jq6y4zn1,Joeeigel,805,2017-01-29,Flash,pydpk0jy
